INFO:db_updater:Обновление начинается 
INFO:db_updater:Установка соединения с удаленным сервером
INFO:paramiko.transport:Connected (version 2.0, client OpenSSH_6.0p1)
INFO:paramiko.transport:Authentication (publickey) successful!
INFO:db_updater:=> b'documents/prim_tnved_2018/16_85.html' 35022/35022
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7003.html' 0/12051
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7003.html' 12051/12051
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3907.html' 0/16246
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3907.html' 16246/16246
INFO:db_updater:=> b'documents/prim_tnved_2018/14_7109.html' 0/1574
INFO:db_updater:=> b'documents/prim_tnved_2018/14_7109.html' 1574/1574
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5101.html' 0/6969
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5101.html' 6969/6969
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1512.html' 0/3408
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1512.html' 3408/3408
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2518.html' 0/4455
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2518.html' 4455/4455
INFO:db_updater:=> b'documents/prim_tnved_2018/12_6502.html' 0/5056
INFO:db_updater:=> b'documents/prim_tnved_2018/12_6502.html' 5056/5056
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4702.html' 0/3525
INFO:db_updater:=> b'documents/prim_tnved_2018/10_4702.html' 3525/3525
INFO:db_updater:=> b'documents/prim_tnved_2018/2_07.html' 0/9191
INFO:db_updater:=> b'documents/prim_tnved_2018/2_07.html' 9191/9191
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5402.html' 0/7344
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5402.html' 7344/7344
INFO:db_updater:=> b'documents/prim_tnved_2018/11_59.html' 0/25019
INFO:db_updater:=> b'documents/prim_tnved_2018/11_59.html' 25019/25019
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2617.html' 0/2417
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2617.html' 2417/2417
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5001.html' 0/666
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5001.html' 666/666
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8501.html' 0/18619
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8501.html' 18619/18619
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6115.html' 0/4267
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6115.html' 4267/4267
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1204.html' 0/326
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1204.html' 326/326
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8481.html' 0/24568
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8481.html' 24568/24568
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0807.html' 0/3800
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0807.html' 3800/3800
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2506.html' 0/3853
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2506.html' 3853/3853
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8523.html' 0/19101
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8523.html' 19101/19101
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1101.html' 0/3545
INFO:db_updater:=> b'documents/prim_tnved_2018/2_1101.html' 3545/3545
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5002.html' 0/2312
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5002.html' 2312/2312
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7312.html' 0/5092
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7312.html' 5092/5092
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8425.html' 0/9358
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8425.html' 9358/9358
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7018.html' 0/21377
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7018.html' 21377/21377
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9507.html' 0/6123
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9507.html' 6123/6123
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2205.html' 0/2771
